accuracy,loss,val_accuracy,val_loss,val_macro_f1,val_accuracy_sklearn,learning_rate
0.9135480523109436,0.8814130425453186,0.9842810034751892,0.679482638835907,0.9776350953588152,0.9842809775267101,0.0010000000474974513
0.9763145446777344,0.7162630558013916,0.987228274345398,0.6735819578170776,0.9809703710146709,0.9872282942404519,0.0010000000474974513
0.9792883992195129,0.7050492763519287,0.9888247847557068,0.6624388098716736,0.9844469185078503,0.9888247574603954,0.0010000000474974513
0.9806042313575745,0.7019105553627014,0.9914036393165588,0.6533321142196655,0.9873173210567062,0.9914036595849196,0.0010000000474974513
0.9822885394096375,0.7005078196525574,0.9888247847557068,0.6606023907661438,0.9855756908607244,0.9888247574603954,0.0010000000474974513
0.9896047115325928,0.6646243929862976,0.9961930513381958,0.6184292435646057,0.9950734418646061,0.99619304924475,9.999999747378752e-05
0.9951313138008118,0.6348785758018494,0.9977895021438599,0.6027016043663025,0.9972899699201364,0.9977895124646936,9.999999747378752e-05
0.9972630143165588,0.6194089651107788,0.9975439310073853,0.5982666611671448,0.9971395550120483,0.9975439027385484,9.999999747378752e-05
0.9981314539909363,0.6096905469894409,0.9990175366401672,0.592013955116272,0.9987944402462116,0.9990175610954194,9.999999747378752e-05
0.9989209771156311,0.6018758416175842,0.9997543692588806,0.5847933292388916,0.9997112508392808,0.9997543902738548,9.999999747378752e-05
