loss,disease_loss,species_loss,disease_accuracy,disease_weighted_accuracy,species_accuracy,species_weighted_accuracy,val_loss,val_disease_loss,val_species_loss,val_disease_accuracy,val_disease_weighted_accuracy,val_species_accuracy,val_species_weighted_accuracy,val_species_macro_f1,val_species_accuracy_sklearn,val_disease_macro_f1,val_disease_accuracy_sklearn,lr
1.3892799615859985,0.5196999907493591,0.609730064868927,0.7374055981636047,0.9800757765769958,0.9975008368492126,0.9975008368492126,1.3292160034179688,0.4937083423137665,0.5886535048484802,0.7377853989601135,0.9870836138725281,0.9974220395088196,0.9974220395088196,0.9970846180059862,0.997422047630739,0.9823721133592415,0.9870836165873556,1e-04
1.3480333089828491,0.5000905394554138,0.5978973507881165,0.7424039244651794,0.9860494136810303,0.9977113008499146,0.9977113008499146,1.3177255392074585,0.49010127782821655,0.582573413848877,0.7393813133239746,0.9865737557411194,0.9977903366088867,0.9977903366088867,0.9975029607207514,0.9977903265406335,0.9788965701022454,0.9865737593473828,1e-04
1.3190200328826904,0.4870445728302002,0.5884532332420349,0.745087206363678,0.9902017712593079,0.9985794425010681,0.9985794425010681,1.274139642715454,0.468441903591156,0.5714771747589111,0.7460103034973145,0.9920122623443604,0.9992634654045105,0.9992634654045105,0.9991199332587123,0.9992634421802111,0.9857427076755428,0.9920122365737594,1e-04
1.2986828088760376,0.47813767194747925,0.5814764499664307,0.7475600242614746,0.9910759925842285,0.9989740252494812,0.9989740252494812,1.2671623229980469,0.4658275544643402,0.5684210658073425,0.7544807195663452,0.9928619861602783,0.998772382736206,0.998772382736206,0.9986222410155275,0.9987724036336852,0.9881811094836503,0.9928619986403807,1e-04
1.2831851243972778,0.4708353877067566,0.5769326090812683,0.7502696514129639,0.9936985373497009,0.9991582036018372,0.9991582036018372,1.258312702178955,0.4620087444782257,0.5653001070022583,0.7537441849708557,0.9911624789237976,0.999386191368103,0.999386191368103,0.9992243517537155,0.9993862018168426,0.9855954248519584,0.991162474507138,1e-04
1.2711358070373535,0.46543318033218384,0.5729868412017822,0.7526635527610779,0.9947912693023682,0.9991582036018372,0.9991582036018372,1.2452064752578735,0.45597705245018005,0.5612408518791199,0.7501841187477112,0.9935418367385864,0.9991406798362732,0.9991406798362732,0.9989781842446263,0.9991406825435797,0.9876231893879,0.9935418082936778,1e-04
1.2615320682525635,0.4610220789909363,0.5699990391731262,0.7515850067138672,0.9958475828170776,0.9995527863502502,0.9995527863502502,1.2428574562072754,0.4558653235435486,0.5590593218803406,0.7506752014160156,0.9913324117660522,0.998772382736206,0.998772382736206,0.9984244060242516,0.9987724036336852,0.9846439053306748,0.9913324269204623,1e-04
1.2554306983947754,0.45828866958618164,0.5679973363876343,0.7514534592628479,0.9962482452392578,0.9995790719985962,0.9995790719985962,1.2387990951538086,0.4537945091724396,0.5581070780754089,0.7467468976974487,0.9918422698974609,0.998772382736206,0.998772382736206,0.9984115649670385,0.9987724036336852,0.9866901187744034,0.9918422841604351,1e-04
1.2496010065078735,0.4557836949825287,0.5659253001213074,0.7505853176116943,0.996066153049469,0.9995265007019043,0.9995265007019043,1.2307982444763184,0.4491921067237854,0.5570095181465149,0.7449054718017578,0.9935418367385864,0.9991406798362732,0.9991406798362732,0.9990669659140374,0.9991406825435797,0.9895110136821345,0.9935418082936778,1e-04
1.2438257932662964,0.45292091369628906,0.5644453167915344,0.7509009838104248,0.996758222579956,0.9995265007019043,0.9995265007019043,1.228088617324829,0.44838494062423706,0.5555112361907959,0.748956561088562,0.9926920533180237,0.9991406798362732,0.9991406798362732,0.9989151671430818,0.9991406825435797,0.9869460813668123,0.9926920462270564,1e-04
1.2361695766448975,0.44900187849998474,0.562667727470398,0.7502959370613098,0.9979966282844543,0.9996579885482788,0.9996579885482788,1.2218408584594727,0.44490334391593933,0.5544854402542114,0.7485882639884949,0.994561493396759,0.9991406798362732,0.9991406798362732,0.9989934044365919,0.9991406825435797,0.9898023352059553,0.9945615227736234,5e-05
1.232810616493225,0.4475398361682892,0.5615007281303406,0.750453770160675,0.9981787800788879,0.9998421669006348,0.9998421669006348,1.2211360931396484,0.44482266902923584,0.5539023280143738,0.7488337755203247,0.9935418367385864,0.9995089769363403,0.9995089769363403,0.9994800844813031,0.9995089614534741,0.9889622257263622,0.9935418082936778,5e-05
1.230374813079834,0.4463041424751282,0.5609185695648193,0.7515850067138672,0.9984337687492371,0.9997632503509521,0.9997632503509521,1.2217456102371216,0.4453459680080414,0.5537271499633789,0.7479744553565979,0.9932019114494324,0.999386191368103,0.999386191368103,0.9992801968399466,0.9993862018168426,0.9876988192829002,0.9932019034670292,5e-05
1.2292219400405884,0.4459090232849121,0.5603586435317993,0.7519795894622803,0.9986522793769836,0.9997106194496155,0.9997106194496155,1.2180677652359009,0.44295498728752136,0.5536349415779114,0.7482199668884277,0.9943915605545044,0.9991406798362732,0.9991406798362732,0.9989895268101158,0.9991406825435797,0.9896355952789353,0.9943915703602991,5e-05
1.2278401851654053,0.4452148675918579,0.560017466545105,0.7518743872642517,0.9983972907066345,0.9997895359992981,0.9997895359992981,1.218753457069397,0.44374215602874756,0.5531403422355652,0.7478517293930054,0.9935418367385864,0.9991406798362732,0.9991406798362732,0.9989176620459872,0.9991406825435797,0.9893450829946044,0.9935418082936778,5e-05
1.2271029949188232,0.4449087381362915,0.5597397685050964,0.7520847916603088,0.9986886978149414,0.9995265007019043,0.9995265007019043,1.2160238027572632,0.44224944710731506,0.5526492595672607,0.7479744553565979,0.9947314858436584,0.999386191368103,0.999386191368103,0.9993156726081353,0.9993862018168426,0.9907723249026252,0.9947314751869476,5e-05
1.2249517440795898,0.44384875893592834,0.5591775178909302,0.7522689700126648,0.9986886978149414,0.9997369050979614,0.9997369050979614,1.2165439128875732,0.44271647930145264,0.5524691343307495,0.7476061582565308,0.9930319786071777,0.9992634654045105,0.9992634654045105,0.9989347574304623,0.9992634421802111,0.9875610150235314,0.993031951053705,5e-05
1.2242079973220825,0.44378602504730225,0.558529257774353,0.7513219118118286,0.9982516169548035,0.9999473690986633,0.9999473690986633,1.2130873203277588,0.44076108932495117,0.5519456267356873,0.7494475841522217,0.9947314858436584,0.999386191368103,0.999386191368103,0.9992038776088281,0.9993862018168426,0.9898814595170364,0.9947314751869476,5e-05
