accuracy,loss,val_accuracy,val_loss,val_macro_f1,val_accuracy_sklearn,learning_rate
0.8309910893440247,1.3174324035644531,0.9417905211448669,0.9717890024185181,0.9230068614822393,0.9417904949035982,0.0010000000474974513
0.9324964284896851,1.0066015720367432,0.951246440410614,0.9325652122497559,0.9407166512887354,0.9512464693601866,0.0010000000474974513
0.9428654313087463,0.9762179851531982,0.9573867321014404,0.9150533676147461,0.9440319035962133,0.9573867125138156,0.0010000000474974513
0.9434443712234497,0.9682460427284241,0.9518604874610901,0.9232040047645569,0.9389378677415524,0.9518604936755496,0.0010000000474974513
0.9473656415939331,0.9570403099060059,0.9621760845184326,0.8988453149795532,0.9519255645919821,0.9621761021736461,0.0010000000474974513
0.9606295228004456,0.9142433404922485,0.9772810935974121,0.8452756404876709,0.970573687281124,0.9772811003315731,9.999999747378752e-05
0.974077582359314,0.871401309967041,0.9825617074966431,0.8219972252845764,0.9754494798963385,0.9825617094436939,9.999999747378752e-05
0.9813147783279419,0.8451815843582153,0.9831757545471191,0.8130781650543213,0.9762444235640784,0.9831757337590569,9.999999747378752e-05
0.9852360486984253,0.8282809257507324,0.9866142868995667,0.7941464185714722,0.9814233816236886,0.986614269925089,9.999999747378752e-05
0.988973081111908,0.8129312992095947,0.9902983903884888,0.7813777923583984,0.9850427623186677,0.9902984158172664,9.999999747378752e-05
