epoch,split,class_index,class_name,precision,recall,f1,support
3,val,8,Corn_(maize)___Common_rust_,1.000000,0.994413,0.997199,179
3,val,9,Corn_(maize)___Northern_Leaf_Blight,0.947368,0.851351,0.896797,148
3,val,10,Corn_(maize)___healthy,0.994286,1.000000,0.997135,174
3,val,11,Grape___Black_rot,0.972376,0.994350,0.983240,177
3,val,12,Grape___Esca_(Black_Measles),0.995098,0.975962,0.985437,208
3,val,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.000000,1.000000,1.000000,161
3,val,14,Grape___healthy,1.000000,0.968750,0.984127,64
3,val,15,Orange___Haunglongbing_(Citrus_greening),0.998791,1.000000,0.999395,826
3,val,16,Peach___Bacterial_spot,0.982808,0.997093,0.989899,344
3,val,17,Peach___healthy,1.000000,0.944444,0.971429,54
3,val,18,"Pepper,_bell___Bacterial_spot",0.933333,0.939597,0.936455,149
3,val,19,"Pepper,_bell___healthy",0.960870,0.995495,0.977876,222
3,val,20,Potato___Early_blight,0.979592,0.960000,0.969697,150
3,val,21,Potato___Late_blight,0.969697,0.853333,0.907801,150
3,val,22,Potato___healthy,0.941176,0.695652,0.800000,23
3,val,23,Raspberry___healthy,1.000000,0.946429,0.972477,56
3,val,24,Soybean___healthy,0.983226,0.998689,0.990897,763
3,val,25,Squash___Powdery_mildew,0.996377,1.000000,0.998185,275
3,val,26,Strawberry___Leaf_scorch,1.000000,0.993976,0.996979,166
3,val,27,Strawberry___healthy,0.985507,1.000000,0.992701,68
3,val,28,Tomato___Bacterial_spot,0.926154,0.943574,0.934783,319
3,val,29,Tomato___Early_blight,0.984848,0.433333,0.601852,150
3,val,30,Tomato___Late_blight,0.846875,0.950877,0.895868,285
3,val,31,Tomato___Leaf_Mold,0.935714,0.916084,0.925795,143
3,val,32,Tomato___Septoria_leaf_spot,0.928571,0.830827,0.876984,266
3,val,33,Tomato___Spider_mites Two-spotted_spider_mite,0.909804,0.924303,0.916996,251
3,val,34,Tomato___Target_Spot,0.684746,0.957346,0.798419,211
3,val,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.989873,0.972637,0.981179,804
