accuracy,auc,loss,val_accuracy,val_auc,val_loss,val_macro_f1,learning_rate
0.8847792744636536,0.992286741733551,0.953406572341919,0.9745887517929077,0.9996175169944763,0.725002646446228,0.9689393631549953,0.0010000000474974513
0.9568843245506287,0.9988547563552856,0.7785663604736328,0.9807267189025879,0.99976646900177,0.7031126618385315,0.9781460115329296,0.0010000000474974513
0.9615930914878845,0.9990623593330383,0.7659467458724976,0.9850233197212219,0.9998272657394409,0.6928680539131165,0.9795847316321303,0.0010000000474974513
0.963092565536499,0.9991413950920105,0.7658079862594604,0.9826908707618713,0.9997721910476685,0.6955648064613342,0.9804242567456349,0.0010000000474974513
0.9632766842842102,0.999189019203186,0.7621279358863831,0.9841639995574951,0.9997894763946533,0.6943981051445007,0.9823005621091534,0.0010000000474974513
0.9643025994300842,0.9992159008979797,0.7559972405433655,0.9863736629486084,0.999823808670044,0.6863644123077393,0.9844437073657634,0.0005000000237487257
0.9666701555252075,0.9992300868034363,0.7545032501220703,0.988092303276062,0.9998196959495544,0.6856679916381836,0.9873176587103958,0.0005000000237487257
0.9667754173278809,0.9993108510971069,0.7531040906906128,0.9856371283531189,0.9997771382331848,0.6918936967849731,0.9838285294946321,0.0005000000237487257
0.966985821723938,0.9992921352386475,0.75140380859375,0.9863736629486084,0.9997813105583191,0.687876284122467,0.9832981642565933,0.0005000000237487257
0.9675382971763611,0.9992904663085938,0.7504713535308838,0.988706111907959,0.9998461008071899,0.6815558671951294,0.9871225196428816,0.0002500000118743628
0.9685642123222351,0.9993396401405334,0.7482732534408569,0.9871102571487427,0.9997988343238831,0.6881422400474548,0.9852262596866835,0.0002500000118743628
0.9680380821228027,0.9993213415145874,0.7484875917434692,0.9883378148078918,0.9998453855514526,0.6790928244590759,0.9864269090881009,0.0002500000118743628
0.9676697850227356,0.9993310570716858,0.7472451329231262,0.988092303276062,0.9998590350151062,0.6797568202018738,0.9858790394685063,0.0001250000059371814
0.9678802490234375,0.9993709325790405,0.7469092011451721,0.9878467917442322,0.9998289346694946,0.6819207072257996,0.9861551244208909,0.0001250000059371814
0.968169629573822,0.9993659257888794,0.7465463876724243,0.988092303276062,0.9998411536216736,0.6802070736885071,0.9858935756533678,6.25000029685907e-05
