epoch,split,class_index,class_name,precision,recall,f1,support
8,val,12,Strawberry,1.000000,1.000000,1.000000,235
8,val,13,Tomato,0.998897,0.997796,0.998346,2722
9,val,0,Apple,0.979381,1.000000,0.989583,475
9,val,1,Blueberry,1.000000,0.995556,0.997773,225
9,val,2,Cherry_(including_sour),1.000000,0.972028,0.985816,286
9,val,3,Corn_(maize),1.000000,1.000000,1.000000,578
9,val,4,Grape,1.000000,1.000000,1.000000,609
9,val,5,Orange,0.946163,1.000000,0.972337,826
9,val,6,Peach,1.000000,0.987437,0.993679,398
9,val,7,"Pepper,_bell",1.000000,0.878706,0.935438,371
9,val,8,Potato,0.978723,0.996904,0.987730,323
9,val,9,Raspberry,1.000000,0.982143,0.990991,56
9,val,10,Soybean,0.998693,1.000000,0.999346,764
9,val,11,Squash,1.000000,1.000000,1.000000,275
9,val,12,Strawberry,0.995763,1.000000,0.997877,235
9,val,13,Tomato,0.998160,0.996326,0.997242,2722
10,val,0,Apple,0.961538,1.000000,0.980392,475
10,val,1,Blueberry,1.000000,1.000000,1.000000,225
10,val,2,Cherry_(including_sour),1.000000,0.947552,0.973070,286
10,val,3,Corn_(maize),1.000000,1.000000,1.000000,578
10,val,4,Grape,1.000000,1.000000,1.000000,609
10,val,5,Orange,0.998791,1.000000,0.999395,826
10,val,6,Peach,1.000000,0.987437,0.993679,398
10,val,7,"Pepper,_bell",1.000000,1.000000,1.000000,371
10,val,8,Potato,1.000000,0.996904,0.998450,323
10,val,9,Raspberry,1.000000,1.000000,1.000000,56
10,val,10,Soybean,1.000000,1.000000,1.000000,764
10,val,11,Squash,1.000000,1.000000,1.000000,275
10,val,12,Strawberry,1.000000,1.000000,1.000000,235
10,val,13,Tomato,0.999633,1.000000,0.999816,2722
