accuracy,loss,val_accuracy,val_loss,val_macro_f1,val_accuracy_sklearn,learning_rate
0.9608400464057922,0.7520552277565002,0.9914036393165588,0.6498137712478638,0.9864785285194083,0.9914036595849196,0.0010000000474974513
0.9904468655586243,0.6579328179359436,0.9938597679138184,0.6396316885948181,0.9924074563644066,0.9938597568463711,0.0010000000474974513
0.992631196975708,0.650035560131073,0.9944737553596497,0.6383786797523499,0.9929917202271968,0.994473781161734,0.0010000000474974513
0.9927628040313721,0.6477800011634827,0.9958246350288391,0.6216714382171631,0.9951064811631135,0.9958246346555324,0.0010000000474974513
0.9934470057487488,0.645805835723877,0.9958246350288391,0.6280742287635803,0.9951536765148916,0.9958246346555324,0.0010000000474974513
0.9955524206161499,0.597135603427887,0.9986491203308105,0.5686154961585999,0.9981190929506312,0.9986491465062016,9.999999747378752e-05
0.9976840615272522,0.5688832402229309,0.9981579184532166,0.5612644553184509,0.9977560881396196,0.9981579270539114,9.999999747378752e-05
0.998315691947937,0.5618979334831238,0.9985263347625732,0.5595375299453735,0.9982648470328022,0.998526341643129,9.999999747378752e-05
0.9983946681022644,0.5601734519004822,0.9912808537483215,0.5681407451629639,0.9891293527438217,0.991280854721847,9.999999747378752e-05
0.9989999532699585,0.5563827753067017,0.9974210858345032,0.5591191649436951,0.9960572899497642,0.9974210978754758,9.999999747378752e-05
