loss,accuracy,val_loss,val_accuracy,val_macro_f1,val_accuracy_sklearn,lr
1.3426227569580078,0.828716516494751,0.9966894388198853,0.9426712393760681,0.9180515873626807,0.9426712496931009,0.001
1.0103751420974731,0.9342330098152161,0.9296724796295166,0.958507239818573,0.9393975404439644,0.9585072428185613,0.001
0.963476300239563,0.9484123587608337,0.8998873829841614,0.9642769694328308,0.9498954896440025,0.9642769457402406,0.001
0.9433556199073792,0.9531739354133606,0.8805111050605774,0.9690645933151245,0.9536753671415366,0.9690645715688682,0.001
0.9297431707382202,0.9568042755126953,0.8663768172264099,0.9731156229972839,0.9620132390689774,0.9731156395777069,0.001
0.9228771328926086,0.9579354524612427,0.8609561920166016,0.9744659662246704,0.9671166898014273,0.974465995580653,0.001
0.9164213538169861,0.961670994758606,0.8551047444343567,0.9750797748565674,0.9660148980766672,0.9750797937638105,0.001
0.9133028984069824,0.9610133171081543,0.8503566980361938,0.9772894382476807,0.9681151455560592,0.977289467223177,0.001
0.9103765487670898,0.9615394473075867,0.8477636575698853,0.977412223815918,0.9671275743967351,0.9774122268598084,0.001
0.9056640863418579,0.9636703133583069,0.8455839157104492,0.9771667122840881,0.9678810883427418,0.9771667075865456,0.001
0.9050847887992859,0.9626969695091248,0.8424590229988098,0.9796218872070312,0.97186365968465,0.9796219003191751,0.001
0.9030138254165649,0.9648541212081909,0.839196503162384,0.9803584814071655,0.9741812614287296,0.9803584581389639,0.001
0.901402473449707,0.9647225737571716,0.8393498063087463,0.9804812073707581,0.9749001807790021,0.9804812177755954,0.001
0.8992683291435242,0.9650382995605469,0.8398714065551758,0.9804812073707581,0.9718682475576255,0.9804812177755954,0.001
0.8984752893447876,0.9645121693611145,0.8356115818023682,0.9797446727752686,0.9732302657750425,0.9797446599558065,0.001
0.9007865190505981,0.9648541212081909,0.8377182483673096,0.9799901843070984,0.9709020267909537,0.9799901792290695,0.001
0.8980618119239807,0.9656433463096619,0.8315998911857605,0.9821998476982117,0.973012659470955,0.982199852688436,0.001
0.8973157405853271,0.9657748937606812,0.831105649471283,0.9804812073707581,0.9732825346905251,0.9804812177755954,0.001
0.8907391428947449,0.9677741527557373,0.8288470506668091,0.9803584814071655,0.9736315281916521,0.9803584581389639,0.0005
0.888295590877533,0.9686160087585449,0.8284412026405334,0.9801129102706909,0.9713096015232501,0.9801129388657009,0.0005
0.8894668817520142,0.9675111174583435,0.8259269595146179,0.9818315505981445,0.9739728116567781,0.9818315737785416,0.0005
0.8888710737228394,0.9679057002067566,0.8271915912628174,0.9812178015708923,0.9722043502608312,0.9812177755953843,0.0005
0.8888192772865295,0.9686686396598816,0.8244419693946838,0.9828136563301086,0.9782534153707045,0.9828136508715934,0.0005
0.8879844546318054,0.9676689505577087,0.8281173706054688,0.981708824634552,0.9738088438785396,0.9817088141419101,0.0005
0.8876315951347351,0.9694578051567078,0.8243702054023743,0.9824453592300415,0.9753730636831397,0.982445371961699,0.0005
0.8889700174331665,0.9675374031066895,0.8239578604698181,0.9831819534301758,0.9759169306338389,0.9831819297814879,0.0005
0.8868284225463867,0.9671691060066223,0.8251116871833801,0.9818315505981445,0.9749984216493006,0.9818315737785416,0.0005
0.8857728242874146,0.9686949253082275,0.8255946040153503,0.9820771217346191,0.9735987927066517,0.9820770930518046,0.0005
0.8850532174110413,0.9694578051567078,0.8249780535697937,0.9825681447982788,0.9747744051373274,0.9825681315983305,0.00025
0.8829091191291809,0.9701154828071594,0.8225501179695129,0.9833046793937683,0.9769062914376497,0.9833046894181193,0.00025
0.8855102062225342,0.9688790440559387,0.822607696056366,0.9826908707618713,0.9764637334892111,0.9826908912349619,0.00025
