approach,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_model__l1_ratio,param_sampler,params,split0_test_bal_acc,split1_test_bal_acc,split2_test_bal_acc,split3_test_bal_acc,split4_test_bal_acc,mean_test_bal_acc,std_test_bal_acc,rank_test_bal_acc,split0_train_bal_acc,split1_train_bal_acc,split2_train_bal_acc,split3_train_bal_acc,split4_train_bal_acc,mean_train_bal_acc,std_train_bal_acc,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,split1_train_f1_macro,split2_train_f1_macro,split3_train_f1_macro,split4_train_f1_macro,mean_train_f1_macro,std_train_f1_macro,C,l1_ratio,class_weight,sampler_name
Baseline,6.398292684555054,0.4703148266398343,0.005928897857666015,0.0019339596392179887,100.0,,0.75,passthrough,"{'model__C': np.float64(100.0), 'model__class_weight': None, 'model__l1_ratio': 0.75, 'sampler': 'passthrough'}",0.38303571428571426,0.3785865617433413,0.36952179176755445,0.4230932203389831,0.3528147699757869,0.381410411622276,0.02326852931590062,1,0.3795853510895883,0.38114828209764917,0.37851397679324894,0.4179786392405063,0.37576853526220616,0.38659895689663976,0.015787652911277605,0.29665631620752225,0.28840792935575743,0.2882451024469656,0.35073816938763036,0.2750679596876002,0.2998230954170952,0.02638009071401104,1,0.2975248140810625,0.30027066398932084,0.29562789000821604,0.3404623961949086,0.28971010004017395,0.30471917286273636,0.018204668272636677,100.0,0.75,None,passthrough
ClassWeight balanced,6.368188428878784,0.4278868080223111,0.00517582893371582,0.0005502806791412083,1.0,balanced,0.25,passthrough,"{'model__C': np.float64(1.0), 'model__class_weight': 'balanced', 'model__l1_ratio': 0.25, 'sampler': 'passthrough'}",0.3708333333333334,0.37507566585956414,0.3630145278450363,0.40345036319612587,0.3460502421307506,0.3716848264729621,0.018727403174592042,68,0.37331643462469727,0.3719522302591923,0.3697643535262206,0.4062490581675708,0.36828002561784207,0.3779124204391046,0.014274354729729889,0.2774787801204397,0.27849651550079624,0.2765678565568375,0.3219296467511193,0.25847572898050797,0.28258970558194013,0.021015486044930833,67,0.2845571898253237,0.28428806151674363,0.2787750680234403,0.3235643756854468,0.2767810555039452,0.2895931501109799,0.0172553162607648,1.0,0.25,balanced,passthrough
Oversampling: ROS,6.434247446060181,0.4790224971181074,0.005248737335205078,0.000343974058614256,100.0,,0.5,RandomOverSampler(random_state=42),"{'model__C': np.float64(100.0), 'model__class_weight': None, 'model__l1_ratio': 0.5, 'sampler': RandomOverSampler(random_state=42)}",0.3708333333333334,0.38100786924939467,0.36390738498789343,0.4061289346246973,0.3540859564164648,0.3751926957223567,0.017791705053262098,40,0.3760593220338983,0.3744744575045208,0.37213023658830624,0.41041195750452075,0.37013261000602776,0.3806417167274548,0.015021233515369789,0.2762820561446034,0.2866264159772892,0.27662208411760675,0.3248423206839229,0.2687434794115121,0.2866232712669869,0.019936635521686404,41,0.28821385465940885,0.2871053348592392,0.281942227725429,0.32807958026104256,0.27951087765776367,0.2929703750325766,0.017846330584635632,100.0,0.5,None,ROS
Oversampling: SMOTE,3.412514591217041,0.26622444311719595,0.01062312126159668,0.001312189864631063,0.1,,0.0,"SMOTE(k_neighbors=3, random_state=42)","{'model__C': np.float64(0.1), 'model__class_weight': None, 'model__l1_ratio': 0.0, 'sampler': SMOTE(k_neighbors=3, random_state=42)}",0.37172619047619054,0.3810078692493946,0.36269673123486684,0.4088075060532687,0.354978813559322,0.3758434221146085,0.018646293528421374,23,0.37605932203389836,0.37499905816757073,0.37168380801687767,0.41234271398432787,0.37147189572031347,0.38131135958459766,0.015619723440705812,0.27669816193309316,0.2878654928635444,0.2757180136381755,0.32789732253900505,0.2697361954026921,0.287583037275302,0.02099090488489476,23,0.2879249265005729,0.28813826824662814,0.2812997180725175,0.33021821181749794,0.2817671566974737,0.29386965626693806,0.018405868375531945,0.1,0.0,None,SMOTE
