mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_model__l1_ratio,param_sampler,params,split0_test_bal_acc,split1_test_bal_acc,split2_test_bal_acc,split3_test_bal_acc,split4_test_bal_acc,mean_test_bal_acc,std_test_bal_acc,rank_test_bal_acc,split0_train_bal_acc,split1_train_bal_acc,split2_train_bal_acc,split3_train_bal_acc,split4_train_bal_acc,mean_train_bal_acc,std_train_bal_acc,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,split1_train_f1_macro,split2_train_f1_macro,split3_train_f1_macro,split4_train_f1_macro,mean_train_f1_macro,std_train_f1_macro,C,l1_ratio,class_weight,approach,sampler_name
3.0252851963043215,0.23921185024103478,0.006082487106323242,0.0009415740723652963,0.001,,0.0,passthrough,"{'model__C': np.float64(0.001), 'model__class_weight': None, 'model__l1_ratio': 0.0, 'sampler': 'passthrough'}",0.3794642857142857,0.3776937046004842,0.3659503631961259,0.41416464891041166,0.34924334140435837,0.3773032687651331,0.021353368675511304,22,0.3766835653753026,0.37668399638336353,0.3731568339361061,0.40301198010849903,0.37197389240506334,0.3803020536416669,0.011509448205806398,0.2926656534213984,0.28840032676549676,0.2832610040628693,0.33969453181903775,0.26928656583038146,0.29466161637983673,0.02385379735098598,20,0.2942290387784707,0.29500714642328657,0.2899636869897591,0.32219631996559,0.28545035225579946,0.2973693088825812,0.01287420948887553,0.001,0.0,None,Baseline,passthrough
5.418614101409912,0.771490252644938,0.007906103134155273,0.0040633022114698,0.001,,0.25,passthrough,"{'model__C': np.float64(0.001), 'model__class_weight': None, 'model__l1_ratio': 0.25, 'sampler': 'passthrough'}",0.30059523809523814,0.2900726392251816,0.26876513317191286,0.3081113801452785,0.2577330508474577,0.28505548829701377,0.019026933722663335,107,0.28407233656174335,0.28494198312236285,0.276313856238698,0.2946183694996986,0.27806660638939124,0.2836026303623788,0.006436377678887557,0.19508708762164678,0.1952515155083732,0.167666918539191,0.2026276077372067,0.15241044511985077,0.1826087149052537,0.01924317561959847,105,0.18427859620100673,0.18441515385942858,0.1786316504522719,0.19104616604509156,0.17346455978313538,0.18236722526818683,0.005939416390702006,0.001,0.25,None,Baseline,passthrough
4.9569707870483395,0.765679806282709,0.0073372840881347655,0.00202816149378841,0.001,,0.5,passthrough,"{'model__C': np.float64(0.001), 'model__class_weight': None, 'model__l1_ratio': 0.5, 'sampler': 'passthrough'}",0.17589285714285713,0.16964285714285715,0.13392857142857142,0.16964285714285715,0.14732142857142858,0.1592857142857143,0.015977902470191097,112,0.1734375,0.16875,0.14263392857142856,0.16696428571428573,0.16383928571428572,0.163125,0.010706284214594415,0.08170901958593309,0.07580653473510617,0.05396940442838782,0.08101048181340152,0.06443808151615876,0.07138670441579748,0.010680335958896899,112,0.08255018548736526,0.07481482116260965,0.05637039158198679,0.07887235735181941,0.07701596221856952,0.07392474356047012,0.00913652313494673,0.001,0.5,None,Baseline,passthrough
4.704970645904541,0.4545791286696267,0.006288051605224609,0.0014139583113615198,0.001,,0.75,passthrough,"{'model__C': np.float64(0.001), 'model__class_weight': None, 'model__l1_ratio': 0.75, 'sampler': 'passthrough'}",0.1142857142857143,0.10624999999999998,0.11607142857142859,0.10267857142857142,0.09910714285714285,0.10767857142857143,0.006551405831372916,114,0.10111607142857142,0.09799107142857144,0.11093750000000001,0.10357142857142856,0.10066964285714285,0.10285714285714287,0.004411292616798439,0.03781653082187799,0.03373656831667888,0.039199658455661146,0.030633582126504032,0.031176259294671688,0.03451251980307875,0.0034544073282933006,113,0.03150193129536313,0.029823863579403708,0.036769113010742746,0.03137384032700982,0.033464628418086104,0.032586675326121105,0.0023893243276109713,0.001,0.75,None,Baseline,passthrough
4.559249973297119,0.6872343520127969,0.004975652694702149,7.946525219427763e-05,0.001,,1.0,passthrough,"{'model__C': np.float64(0.001), 'model__class_weight': None, 'model__l1_ratio': 1.0, 'sampler': 'passthrough'}",0.1142857142857143,0.10624999999999998,0.11250000000000002,0.10178571428571428,0.09821428571428571,0.10660714285714286,0.0061237243569579524,116,0.10066964285714286,0.09910714285714285,0.11116071428571428,0.10290178571428572,0.09955357142857144,0.10267857142857142,0.004439664246589933,0.037725643038391765,0.03365391632257879,0.03688338586655358,0.03077190280242459,0.030865740419197724,0.033980117689829295,0.002917407140674465,115,0.0315061464942108,0.03067105809957667,0.0374387664201714,0.031079854621604286,0.03312099935786499,0.03276336499868564,0.002481122105205234,0.001,1.0,None,Baseline,passthrough
2.945907783508301,0.373528578962996,0.004915761947631836,8.451585869899571e-05,0.001,balanced,0.0,passthrough,"{'model__C': np.float64(0.001), 'model__class_weight': 'balanced', 'model__l1_ratio': 0.0, 'sampler': 'passthrough'}",0.36815476190476193,0.3750756658595641,0.3603359564164649,0.39809322033898314,0.342478813559322,0.3688276836158192,0.018233672858339038,90,0.36929857748184025,0.36860401597347797,0.36485363924050634,0.3957579867389994,0.36493181133212776,0.3726892061533904,0.011678416524174827,0.2734318658215114,0.278499675582421,0.27165757249554334,0.31539521784661273,0.2534383757006558,0.27848454148934887,0.020306874284108267,87,0.2790940063417157,0.28020424080971307,0.27392203787671676,0.3098071302580458,0.2720599753167576,0.28301747812058975,0.013738903140634532,0.001,0.0,balanced,ClassWeight balanced,passthrough
5.172661304473877,0.6861038146646093,0.005885028839111328,0.000902826047724905,0.001,balanced,0.25,passthrough,"{'model__C': np.float64(0.001), 'model__class_weight': 'balanced', 'model__l1_ratio': 0.25, 'sampler': 'passthrough'}",0.29464285714285715,0.28273305084745765,0.26920399515738497,0.2995611380145279,0.26626815980629537,0.2824818401937046,0.013257755877946238,108,0.2805425242130751,0.2806349834237492,0.2737370027124774,0.2879897528631706,0.27612548975286316,0.27980595059306707,0.00486995638793162,0.18669672910559992,0.18158804088501274,0.15939503411962516,0.19400345810538397,0.150571606420364,0.17445097372719717,0.01661385806008705,108,0.17418838000150752,0.17341179345847577,0.16617608034411147,0.18183356211021245,0.16611140560037982,0.1723442443029374,0.005856315822029371,0.001,0.25,balanced,ClassWeight balanced,passthrough
5.076664543151855,0.8313648055992923,0.008952856063842773,0.0009294524639007555,0.001,balanced,0.5,passthrough,"{'model__C': np.float64(0.001), 'model__class_weight': 'balanced', 'model__l1_ratio': 0.5, 'sampler': 'passthrough'}",0.22023809523809526,0.2070369249394673,0.17699757869249397,0.20830811138014527,0.1864406779661017,0.1998042776432607,0.01575372076683562,111,0.210464588377724,0.2118049276672694,0.18345577154912593,0.20430511603375526,0.20574423598553346,0.20315492792268158,0.010240486729783733,0.11890453561417964,0.11051609826741568,0.07538270103200365,0.11320589592969345,0.09497115108510801,0.1025960763856801,0.01574781345933917,111,0.11512559882443922,0.11203404247748217,0.0825312103657775,0.10989789210643332,0.10875895152081337,0.1056695390589891,0.011770553628610505,0.001,0.5,balanced,ClassWeight balanced,passthrough
4.573671770095825,0.5989430861323881,0.005768632888793946,0.0018492982086717553,0.001,balanced,0.75,passthrough,"{'model__C': np.float64(0.001), 'model__class_weight': 'balanced', 'model__l1_ratio': 0.75, 'sampler': 'passthrough'}",0.11726190476190476,0.10624999999999998,0.11517857142857144,0.10357142857142856,0.09910714285714285,0.10827380952380952,0.006909378587952421,113,0.10513771186440678,0.09866071428571428,0.11093750000000001,0.10357142857142856,0.10022321428571428,0.10370611380145278,0.004288291146546032,0.03618367923766454,0.03370022212207478,0.03839994647190765,0.031347393548480505,0.03117027551284552,0.034160303378594596,0.0027976070681442525,114,0.030079867951260882,0.030384042818517944,0.03676857922546401,0.0313587897168764,0.03301307502763371,0.03232087094795059,0.0024478665543329935,0.001,0.75,balanced,ClassWeight balanced,passthrough
4.6028471946716305,0.7391833064615608,0.006058549880981446,0.0017950427033121914,0.001,balanced,1.0,passthrough,"{'model__C': np.float64(0.001), 'model__class_weight': 'balanced', 'model__l1_ratio': 1.0, 'sampler': 'passthrough'}",0.11607142857142858,0.10624999999999998,0.11250000000000002,0.10267857142857142,0.09910714285714285,0.10732142857142857,0.006221875496494416,115,0.10572790556900727,0.09933035714285714,0.11093750000000001,0.10267857142857142,0.09977678571428572,0.10369022397094432,0.004290035774914544,0.03576913404829345,0.033623595190388815,0.036902746697758566,0.03149134530396861,0.031506223412621895,0.03385860893060626,0.0021958946756177474,116,0.030475735491287594,0.030949535009475785,0.037363885222424745,0.030985640596395244,0.03348240483257257,0.032651440230431185,0.0025808022352120886,0.001,1.0,balanced,ClassWeight balanced,passthrough
